127.0.0.1 - - [18/Sep/2023:14:16:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:16 +0530] "GET /Project_4/servlet/in.co.pro4.controller.UserListCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:39 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:42 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:44 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:54 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:54 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:54 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:16:57 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:17:09 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:17:09 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:17:12 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:17:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:25:45 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10440
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:25:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:25:49 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:25:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:03 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:11 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:23 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:36 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:26:41 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:31:09 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:31:09 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:31:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:43:52 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:43:52 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:43:56 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:43:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:43:58 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:43:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:47:27 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:47:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:47:28 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:47:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:48:34 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:48:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:49:46 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:49:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:50:58 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 8124
0:0:0:0:0:0:0:1 - - [18/Sep/2023:14:50:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/type-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/package-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/member-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Sep/2023:15:15:02 +0530] "GET /Project_4/doc/package-search-index.js HTTP/1.1" 304 -
