127.0.0.1 - - [04/Oct/2023:13:19:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:19:50 +0530] "GET /Project_4/jsp/LoginView.jsp HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:08 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:08 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:10 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:10 +0530] "GET /Project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:10 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:13 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7981
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:19 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:20:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:53:49 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:53:56 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:53:59 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:54:00 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:54:20 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:54:20 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:54:26 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:54:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:55:32 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:55:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:55:43 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:55:57 +0530] "GET /Project_4/LoginCt HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:55:57 +0530] "GET /Project_4/img/error.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:56:02 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:56:04 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:56:06 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:57:23 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:57:23 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:57:30 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:57:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:57:34 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:57:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:58:29 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:58:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:58:39 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:58:56 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:58:56 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:58:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:59:27 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10440
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:59:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:59:38 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:13:59:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:05:18 +0530] "GET /Project_4/ctl/TimeTableCtl HTTP/1.1" 200 9364
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:05:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:24:53 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:24:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:25:08 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:25:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:25:12 +0530] "GET /Project_4/ctl/UserCtl?id=5 HTTP/1.1" 200 7982
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:25:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:29 +0530] "GET /Project_4/ctl/UserCtl?id=5 HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:29 +0530] "GET /Project_4/img/Raysicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:32 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7832
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:36 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7832
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:45:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:08 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:12 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:18 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:43 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:43 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:50 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:53 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7983
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:46:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:48:28 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:48:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:48:47 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:48:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:48:51 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:48:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:08 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:10 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:40 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:42 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:49:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:01 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:03 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:11 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:21 +0530] "GET /Project_4/ctl/UserCtl?id= HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:45 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:45 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:50:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:07 +0530] "GET /Project_4/jsp/UserView.jsp HTTP/1.1" 500 2714
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:16 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:18 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [04/Oct/2023:14:51:20 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3033
